isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
331597;2008;10;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2008;11;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2008;12;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.10050264091515854;1;0.19140494377411343;0
331597;2009;1;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2009;2;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2009;3;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2009;4;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2009;5;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2009;6;0.0;0.0;0.0;0.0;0.0;7333.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08871955610099613;1;1.153155659898161;0
331597;2009;7;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2009;8;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0835379755104429;1;0.20170055119315222;0
331597;2009;9;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2009;10;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2009;11;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2009;12;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
331597;2010;1;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0835379755104429;1;0.20170055119315222;0
331597;2010;2;0.0;0.0;0.0;0.0;0.0;7773.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07506261355079202;1;1.123262892602284;0
