isn_vinculo;num_ano;num_mes;8;10;11;15;19;21;39;51;52;54;86;94;97;102;140;165;207;1352;1367;1369;1404;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
174232;2008;1;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.09050887999680662;1;0.10234783961222171;0
174232;2008;2;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2008;3;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2008;4;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2008;5;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2008;6;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06337796512789573;1;0.3548534622274193;0
174232;2008;7;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2008;8;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2008;9;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2008;10;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2008;11;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2008;12;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2009;1;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2009;2;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2009;3;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.09015741187615112;1;0.0985773984509154;0
174232;2009;4;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2009;5;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2009;6;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.07337612315896308;1;0.3475098590911774;0
174232;2009;7;0.0;0.0;351.24;584.81;0.0;0.0;0.0;0.0;351.24;0.0;0.0;0.0;0.0;0.0;0.0;138.15;1756.19;0.0;0.0;0.0;0.0;1;0.058783647041381615;1;0.3338513536935386;0
174232;2009;8;0.0;0.0;351.24;584.81;0.0;0.0;0.0;0.0;351.24;0.0;0.0;0.0;0.0;0.0;0.0;138.15;1756.19;0.0;0.0;0.0;0.0;1;0.13063533693832957;1;0.09293397396464764;0
174232;2009;9;0.0;0.0;351.24;584.81;0.0;0.0;0.0;0.0;351.24;0.0;0.0;0.0;0.0;0.0;0.0;138.15;1756.19;0.0;0.0;0.0;0.0;1;0.13063533693832957;1;0.09293397396464764;0
174232;2009;10;0.0;0.0;351.24;584.81;0.0;0.0;0.0;0.0;351.24;0.0;0.0;0.0;0.0;0.0;0.0;138.15;1756.19;0.0;0.0;0.0;0.0;1;0.13063533693832957;1;0.09293397396464764;0
174232;2009;11;0.0;0.0;351.24;584.81;0.0;0.0;0.0;0.0;351.24;0.0;0.0;0.0;0.0;0.0;0.0;138.15;1756.19;0.0;0.0;0.0;0.0;1;0.058783647041381615;1;0.3338513536935386;0
174232;2009;12;0.0;0.0;351.24;584.81;0.0;0.0;0.0;0.0;351.24;0.0;0.0;0.0;0.0;0.0;0.0;138.15;1756.19;0.0;0.0;0.0;0.0;1;0.058783647041381615;1;0.3338513536935386;0
