isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
297568;2016;6;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.17813086480903484;1;0.09364185621502807;0
297568;2016;7;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.17813086480903484;1;0.09364185621502807;0
297568;2016;8;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.17813086480903484;1;0.09364185621502807;0
297568;2016;9;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.17813086480903484;1;0.09364185621502807;0
297568;2016;10;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.13726230360744435;1;0.01667907665817303;0
297568;2016;11;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.17813086480903484;1;0.09364185621502807;0
297568;2016;12;0.0;792.0;0.0;0.0;5280.0;0.0;1;0.17813086480903484;1;0.09364185621502807;0
297568;2017;1;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;2;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;3;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;4;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;5;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;6;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;7;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;8;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;9;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;10;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2017;11;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.1295954840944843;1;0.009585229040528387;0
297568;2017;12;0.0;843.3;0.0;0.0;5622.0;0.0;1;0.18892004420242992;1;0.07737111438325295;0
297568;2018;1;0.0;858.6;0.0;0.0;5724.0;0.0;1;0.18364005225834446;1;0.07130425650047734;0
297568;2018;2;0.0;858.6;0.0;0.0;5724.0;0.0;1;0.13984426079977824;1;0.007140212912044475;0
297568;2018;3;0.0;858.6;0.0;0.0;5724.0;0.0;1;0.18364005225834446;1;0.07130425650047734;0
297568;2018;4;0.0;858.6;0.0;0.0;5724.0;0.0;1;0.18364005225834446;1;0.07130425650047734;0
