isn_vinculo;num_ano;num_mes;8;15;21;51;54;79;86;160;161;185;199;207;312;324;371;1232;1233;1352;1367;1369;1404;1454;1455;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
320492;2017;9;993.64;99.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;254.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.93;0.0;0.0;0.0;0.0;0.0;1;0.1128555557570553;1;0.10479878889836791;0
320492;2017;10;993.64;99.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;242.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.93;0.0;0.0;0.0;0.0;0.0;1;0.1110774797172529;1;0.23253784973106284;0
320492;2017;11;993.64;99.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;242.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.93;0.0;0.0;0.0;0.0;0.0;1;0.1110774797172529;1;0.23253784973106284;0
320492;2017;12;993.64;99.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;266.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.93;0.0;0.0;0.0;0.0;0.0;1;0.10507471005892022;1;0.21998435175370568;0
320492;2018;1;993.64;99.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.86;0.0;0.0;10.93;0.0;0.0;-1;-0.039378516210627545;1;5.6047543621984275e-05;1
320492;2018;2;993.64;99.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;242.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.86;0.0;0.0;0.0;0.0;0.0;1;0.07087185137181623;1;0.2059867678972218;0
320492;2018;3;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09283306794727647;1;0.1583081507453581;0
320492;2018;4;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09283306794727647;1;0.1583081507453581;0
320492;2018;5;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09283306794727647;1;0.1583081507453581;0
320492;2018;6;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09121495611574537;1;0.14768606233766612;0
320492;2018;7;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09121495611574537;1;0.14768606233766612;0
320492;2018;8;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;285.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.06730100733315048;1;0.08132054158661517;0
320492;2018;9;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09121495611574537;1;0.14768606233766612;0
320492;2018;10;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09141670056882584;1;0.1680493397826497;0
320492;2018;11;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09141670056882584;1;0.1680493397826497;0
320492;2018;12;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09121495611574537;1;0.14768606233766612;0
320492;2019;1;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.52;0.0;0.0;0.0;0.0;0.0;1;0.09141670056882584;1;0.1680493397826497;0
320492;2019;2;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;240.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;11.25;0.0;0.0;-1;-0.06557637718257187;-1;-5.1383721528019954e-05;2
320492;2019;3;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.061105388278600514;1;0.01769867711374218;0
320492;2019;4;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.06436403088674753;1;0.009242823760496344;0
320492;2019;5;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;285.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.05624466044862669;1;0.03224110933276714;0
320492;2019;6;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;345.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.048960063012058797;1;2.4759157634113294e-05;0
320492;2019;7;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.03308467765343448;1;0.0010464007576735934;0
320492;2019;8;1023.44;102.34;0.0;0.0;375.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;-1;-0.05423480647790252;1;0.0003118640896939695;1
320492;2019;9;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.06436403088674753;1;0.009242823760496344;0
320492;2019;10;1023.44;102.34;0.0;0.0;375.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;-1;-0.05423480647790252;1;0.0003118640896939695;1
320492;2019;11;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.033948240050298006;1;3.00880449287666e-05;0
320492;2019;12;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.0;0.0;1;0.020273928883641767;-1;-0.00039446991006564236;1
320492;2020;1;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13422758577417582;1;0.12093307824700505;0
320492;2020;2;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13639469786367103;1;0.09341924054450179;0
320492;2020;3;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;375.26;1;0.0010936091703602768;1;5.71187677681495e-05;0
320492;2020;4;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;375.26;1;0.0010936091703602768;1;5.71187677681495e-05;0
320492;2020;5;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11408738371654359;1;0.00014263565747107965;0
320492;2020;6;1023.44;102.34;0.0;0.0;0.0;375.26;0.0;0.0;0.0;345.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.017243013416761488;-1;-1.2168483771612948e-05;1
320492;2020;7;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13644949311542082;1;0.08257131789038308;0
320492;2020;8;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13644949311542082;1;0.08257131789038308;0
320492;2020;9;1023.44;102.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13639469786367103;1;0.09341924054450179;0
