isn_vinculo;num_ano;num_mes;207;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
296926;2013;2;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;3;919.55;1;0.004257200640550574;1;0.015155290767740415;0
296926;2013;4;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;5;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;6;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;7;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;8;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;9;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;10;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;11;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2013;12;919.55;1;0.0704614683605751;1;0.057934577294197265;0
296926;2014;1;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;2;971.96;1;0.00296396360704565;-1;-0.0003173138776151885;1
296926;2014;3;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;4;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;5;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;6;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;7;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;8;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;9;971.96;1;0.00296396360704565;-1;-0.0003173138776151885;1
296926;2014;10;971.96;1;0.0;1;0.00017102618040820694;0
296926;2014;11;971.96;1;0.0;1;0.00017102618040820694;0
