isn_vinculo;num_ano;num_mes;169;171;293;294;324;346;1368;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
161747;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2007;10;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2007;11;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2007;12;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2008;1;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.20477075587332721;1;0.10875521001744648;0
161747;2008;2;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2008;3;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2008;4;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.20477075587332721;1;0.10875521001744648;0
161747;2008;5;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2008;6;0.0;169.88;0.0;0.0;0.0;0.0;0.0;1;0.15433021420398402;1;0.612789153383634;0
161747;2008;7;0.0;233.37;0.0;0.0;0.0;0.0;0.0;1;0.20464324215841828;1;0.5929453545612198;0
161749;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161749;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.1255727795277624;1;2.3564886061582513;0
161749;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161749;2007;10;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161749;2007;11;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161749;2007;12;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
