isn_vinculo,cod_cargo,num_ano,num_mes,100,106
175502,W005,2010,10,0.0,0.13085866610811014
296999,W005,2010,11,0.0,0.1423726761130357
312125,W005,2010,3,0.0,0.13827841315400616
177356,W005,2010,5,0.0,0.10777026308339566
175043,W005,2010,7,0.0,0.12215320267256205
218731,W005,2010,10,0.0,0.141611261023173
175502,W005,2010,4,0.0,0.12897501059566452
331390,W005,2010,10,0.0,0.11450812388827342
312125,W005,2010,8,0.0,0.14061273214323702
20321,W005,2010,1,0.0,0.1063799809850777
320424,W005,2010,1,0.0,0.12442419313400939
167321,W005,2010,1,0.0,0.2055156365826159
218731,W005,2010,3,0.0,0.13923128658367956
175502,W005,2010,5,0.0,0.12897501059566452
177065,W005,2010,6,0.0,0.16621660320177256
173352,W005,2010,12,0.0,0.14142863922212276
175043,W005,2010,6,0.0,0.12067160967371898
296979,W005,2010,12,0.0,0.11573345726306213
177065,W005,2010,1,0.0,0.16621660320177256
331355,W005,2010,11,0.0,0.3451403127807442
264732,W005,2010,2,0.0,0.1116877952672153
80204,W005,2010,7,0.0,0.11193080008312892
175043,W005,2010,2,0.0,0.12067160967371898
331390,W005,2010,1,0.0,0.11337851968339009
172915,W005,2010,12,0.0,0.14151258634034747
12898,W005,2010,6,0.0,0.15979391227935247
320454,W005,2010,9,0.0,0.12713259226410123
331429,W005,2010,2,0.0,0.2055156365826159
175043,W005,2010,8,0.0,0.12215320267256205
172915,W005,2010,10,0.0,0.14151258634034747
173352,W005,2010,6,0.0,0.13905602856492974
12898,W005,2010,4,0.0,0.15979391227935247
177356,W005,2010,8,0.0,0.10862740734316371
305879,W005,2010,6,0.0,0.21773362417546094
127853,W005,2010,4,0.0,0.20701490265897998
331355,W005,2010,12,0.0,0.3451403127807442
320424,W005,2010,7,0.0,0.1260884079339027
320454,W005,2010,5,0.0,0.1254197765010252
172915,W005,2010,7,0.0,0.14151258634034747
80204,W005,2010,1,0.0,0.11092048915151229
331390,W005,2010,4,0.0,0.11337851968339009
264732,W005,2010,8,0.0,0.112734925110334
296979,W005,2010,5,0.0,0.11454788831269566
173352,W005,2010,4,0.0,0.13905602856492974
167321,W005,2010,9,0.0,0.21110474734862927
296900,W005,2010,11,0.0,0.3966234603558507
167321,W005,2010,3,0.0,0.2055156365826159
331429,W005,2010,5,0.0,0.2055156365826159
331429,W005,2010,8,0.0,0.21110474734862927
127853,W005,2010,3,0.0,0.20701490265897998
331355,W005,2010,2,0.0,0.33336415212592396
331355,W005,2010,3,0.0,0.33336415212592396
331390,W005,2010,2,0.0,0.11337851968339009
218731,W005,2010,11,0.0,0.141611261023173
296979,W005,2010,10,0.0,0.11573345726306213
172915,W005,2010,6,0.0,0.1391370301702343
172915,W005,2010,9,0.0,0.14151258634034747
20321,W005,2010,8,0.0,0.10717085120414205
175043,W005,2011,5,0.0,0.12375850721405207
331355,W005,2011,8,0.0,0.35789438372505933
154417,W005,2011,9,0.0,0.2188028453654809
320424,W005,2011,7,0.0,0.12789106184104376
20321,W005,2011,10,0.0,0.10802652270745003
175970,W005,2011,9,0.0,0.11553168962803081
296979,W005,2011,12,0.0,0.11701770089625413
296999,W005,2011,10,0.0,0.14498976434260244
175041,W005,2011,7,0.0,0.10237261065719302
177065,W005,2011,12,0.0,0.17389555538464307
312149,W005,2011,3,0.0,0.2445908109815267
175043,W005,2011,7,0.0,0.12375850721405207
296900,W005,2011,12,0.0,0.41195190959239014
296979,W005,2011,9,0.0,0.11701770089625413
305944,W005,2011,10,0.0,0.21934334698633118
175502,W005,2011,4,0.0,0.1328999065617846
296999,W005,2011,9,0.0,0.14498976434260244
218731,W005,2011,4,0.0,0.1441900575847776
331430,W005,2011,8,0.0,0.23383232504062354
312149,W005,2011,9,0.0,0.2445908109815267
305944,W005,2011,2,0.0,0.21934334698633118
296999,W005,2011,1,0.0,0.14498976434260244
305879,W005,2011,9,0.0,0.22649652511295226
177065,W005,2011,4,0.0,0.17389555538464307
172915,W005,2011,10,0.0,0.14408549187611175
177356,W005,2011,2,0.0,0.1095567166694758
331390,W005,2011,10,0.0,0.11573198450660205
172915,W005,2011,1,0.0,0.14408549187611175
177065,W005,2011,10,0.0,0.17389555538464307
296999,W005,2011,6,0.0,0.14498976434260244
177356,W005,2011,10,0.0,0.1095567166694758
20321,W005,2011,6,0.0,0.10802652270745003
296979,W005,2011,3,0.0,0.11701770089625413
320424,W005,2011,1,0.0,0.12789106184104376
331429,W005,2011,1,0.0,0.21715777639956865
175043,W005,2011,9,0.0,0.12375850721405207
296979,W005,2011,11,0.0,0.11701770089625413
305879,W005,2011,6,0.0,0.22649652511295226
218731,W005,2011,9,0.0,0.1441900575847776
296979,W005,2011,4,0.0,0.11701770089625413
20321,W005,2011,8,0.0,0.10802652270745003
264732,W005,2011,7,0.0,0.11386894758459759
331355,W005,2011,10,0.0,0.35789438372505933
331355,W005,2011,6,0.0,0.35789438372505933
173352,W005,2011,2,0.0,0.14399712648850677
20321,W005,2011,4,0.0,0.10802652270745003
218731,W005,2011,12,0.0,0.1441900575847776
312149,W005,2011,4,0.0,0.2445908109815267
312118,W005,2011,11,0.0,0.13451846591141534
175502,W005,2011,2,0.0,0.1328999065617846
175041,W005,2011,1,0.0,0.10237261065719302
312125,W005,2011,7,0.0,0.1431414549851988
296979,W005,2011,1,0.0,0.11701770089625413
173352,W005,2011,1,0.0,0.14399712648850677
73309,W005,2011,6,0.0,0.14899566191402702
296999,W005,2011,8,0.0,0.14498976434260244
175970,W005,2011,12,0.0,0.11553168962803081
175041,W005,2011,4,0.0,0.10237261065719302
154417,W005,2011,8,0.0,0.2188028453654809
312118,W005,2011,7,0.0,0.13451846591141534
305944,W005,2011,8,0.0,0.21934334698633118
177065,W005,2011,5,0.0,0.17389555538464307
175970,W005,2011,1,0.0,0.11553168962803081
177356,W005,2011,8,0.0,0.1095567166694758
305879,W005,2012,3,0.0,0.24577490717543313
312125,W005,2012,11,0.0,0.1468586922904472
175502,W005,2012,7,0.0,0.1358999114709728
296999,W005,2012,2,0.0,0.14883513145987803
154417,W005,2012,6,0.0,0.22781611490118625
175970,W005,2012,9,0.0,0.11731519770119081
305944,W005,2012,7,0.0,0.2283949081899987
296999,W005,2012,6,0.0,0.14883513145987803
172915,W005,2012,1,0.0,0.14786900322206387
296900,W005,2012,11,0.0,0.4344850834316535
331430,W005,2012,1,0.0,0.26264827793859913
175970,W005,2012,10,0.0,0.11731519770119081
177065,W005,2012,12,0.0,0.17976448987807214
177356,W005,2012,9,0.0,0.11092196190797236
175041,W005,2012,10,0.0,0.10323564594280141
312149,W005,2012,10,0.0,0.3101446737762621
331429,W005,2012,11,0.0,0.26264827793859913
175041,W005,2012,1,0.0,0.10323564594280141
331390,W005,2012,3,0.0,0.11753022014436286
296979,W005,2012,8,0.0,0.11890577467807999
320454,W005,2012,9,0.0,0.13171286485495803
175043,W005,2012,1,0.0,0.12611786306310435
175502,W005,2012,4,0.0,0.1358999114709728
175043,W005,2012,2,0.0,0.12611786306310435
331429,W005,2012,6,0.0,0.26264827793859913
320454,W005,2012,1,0.0,0.13171286485495803
305879,W005,2012,11,0.0,0.24577490717543313
320424,W005,2012,10,0.0,0.1305405507127323
172915,W005,2012,9,0.0,0.14786900322206387
331429,W005,2012,7,0.0,0.26264827793859913
218731,W005,2012,7,0.0,0.14797945995657005
312149,W005,2012,7,0.9999999999999999,0.3101446737762621
173352,W005,2012,4,0.0,0.1477732740521585
177065,W005,2012,2,0.0,0.17976448987807214
154417,W005,2012,8,0.0,0.22781611490118625
175970,W005,2012,7,0.0,0.11731519770119081
218731,W005,2012,4,0.0,0.14797945995657005
177065,W005,2012,4,0.0,0.17976448987807214
177065,W005,2012,10,0.0,0.17976448987807214
175970,W005,2012,5,0.0,0.11731519770119081
218731,W005,2012,12,0.0,0.14797945995657005
264732,W005,2012,10,0.0,0.11553610789741106
320424,W005,2012,9,0.0,0.1305405507127323
175502,W005,2012,3,0.0,0.1358999114709728
312118,W005,2012,7,0.0,0.1376318730680299
312125,W005,2012,8,0.0,0.1468586922904472
177356,W005,2012,5,0.0,0.11092196190797236
305944,W005,2012,9,0.0,0.2283949081899987
305879,W005,2012,12,0.0,0.24577490717543313
264732,W005,2012,8,0.0,0.11553610789741106
177356,W005,2012,1,0.0,0.11092196190797236
331430,W005,2012,10,0.0,0.26264827793859913
305944,W005,2012,6,0.0,0.2283949081899987
331429,W005,2012,3,0.0,0.26264827793859913
312118,W005,2012,4,0.0,0.1376318730680299
331430,W005,2012,8,0.0,0.26264827793859913
173352,W005,2012,5,0.0,0.1477732740521585
312149,W005,2012,12,0.0,0.3101446737762621
154417,W005,2012,7,0.0,0.22781611490118625
305944,W005,2012,5,0.0,0.2283949081899987
175043,W005,2013,4,0.0,0.12813112114403724
296979,W005,2013,4,0.0,0.12051549748895024
320454,W005,2013,4,0.0,0.1340383473054284
296999,W005,2013,8,0.0,0.1521149600964819
331429,W005,2013,3,0.0,0.2722801051875392
331355,W005,2013,8,0.0,0.39263670861840716
218731,W005,2013,11,0.0,0.1512121603864513
320424,W005,2013,11,0.0,0.13279975912249897
331429,W005,2013,4,0.0,0.2722801051875392
296999,W005,2013,10,0.0,0.1521149600964819
177356,W005,2013,5,0.0,0.11208691226789767
320424,W005,2013,4,0.0,0.13279975912249897
331355,W005,2013,2,0.0,0.39263670861840716
264732,W005,2013,3,0.0,0.11695879063785083
331430,W005,2013,8,0.0,0.2722801051875392
296900,W005,2013,4,0.0,0.45370455523573106
312149,W005,2013,1,0.0,0.3224259898968907
