isn_vinculo,cod_cargo,num_ano,num_mes,94,97,101,140,204,302,303,316,317,1236,1367,1369
383677,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449344194394588,0.0,0.0,0.0,0.0
173997,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486621565649593,0.0,0.0,0.0,0.0
320535,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737269087394726,0.0,0.0,0.0,0.0
751546,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13932514151594644,0.0,0.0,0.0,0.0
377068,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13233411569791523,0.0,0.0,0.0,0.0
746609,V010,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21839624465000695,0.0,0.0,0.0,0.0
297006,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
753435,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
753435,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
750875,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12215656495927102,0.0,0.0,0.0,0.0
377068,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13233411569791523,0.0,0.0,0.0,0.0
297334,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688637304984123,0.0,0.0,0.0,0.0
350848,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16210962308435733,0.0,0.0,0.0,0.0
753435,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
296991,V010,2016,3,0.0,0.0,0.0,0.0,0.0,0.5118890152902841,0.0,0.0,0.0,0.0,0.0,0.0
297006,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
297334,V010,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688637304984123,0.0,0.0,0.0,0.0
333596,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107723871324037,0.0,0.0,0.0,0.0
594946,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12948336324727322,0.0,0.0,0.0,0.0
599251,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080911224630678,0.0,0.0,0.0,0.0
750876,V010,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27535717244235813,0.0,0.0,0.0,0.0
312126,V010,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909733535827696,0.0,0.0,0.0,0.0
320542,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17802899351097612,0.0,0.0,0.0,0.0
600449,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687825486676792,0.0,0.0,0.0,0.0
734348,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13925334806019607,0.0,0.0,0.0,0.0
296906,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13596741681623636,0.0,0.0,0.0,0.0
297006,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
172902,V010,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583001518707718,0.0,0.0,0.0,0.0
176071,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13932735054535414,0.0,0.0,0.0,0.0
383677,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449344194394588,0.0,0.0,0.0,0.0
375130,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34322683970730367,0.0,0.0,0.0,0.0
751545,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18676018224492616,0.0,0.0,0.0,0.0
750877,V010,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16020433522021263,0.0,0.0,0.0,0.0
751545,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18676018224492616,0.0,0.0,0.0,0.0
333596,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107723871324037,0.0,0.0,0.0,0.0
297006,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
375130,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34322683970730367,0.0,0.0,0.0,0.0
190573,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13353914123981775,0.0,0.0,0.0,0.0
753882,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15506337153113353,0.0,0.0,0.0,0.0
811517,V010,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35211928758801603,0.2718576743007,0.0,0.0,0.0
811517,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35211928758801603,0.2718576743007,0.0,0.0,0.0
753435,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
296906,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13596741681623636,0.0,0.0,0.0,0.0
350848,V010,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16210962308435733,0.0,0.0,0.0,0.0
600449,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687825486676792,0.0,0.0,0.0,0.0
333596,V010,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107723871324037,0.0,0.0,0.0,0.0
297006,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
804320,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321104514703852,0.0,0.0,0.0,0.0
297612,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.15472687657867845,0.0,0.0,0.0,0.0,0.0,0.0
734431,V010,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821554604445672,0.0,0.0,0.0,0.0
329685,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3685920198812647,0.0,0.0,0.0,0.0
811517,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35211928758801603,0.2718576743007,0.0,0.0,0.0
753435,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
296991,V010,2016,11,0.0,0.0,0.0,0.0,0.0,0.5118890152902841,0.0,0.0,0.0,0.0,0.0,0.0
600449,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687825486676792,0.0,0.0,0.0,0.0
734431,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821554604445672,0.0,0.0,0.0,0.0
599251,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080911224630678,0.0,0.0,0.0,0.0
297612,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.15472687657867845,0.0,0.0,0.0,0.0,0.0,0.0
594946,V010,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12948336324727322,0.0,0.0,0.0,0.0
750877,V010,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16020433522021263,0.0,0.0,0.0,0.0
807039,V010,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29023277647383683,0.0,0.0,0.0,0.0
751546,V010,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13932514151594644,0.0,0.0,0.0,0.0
312126,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909733535827696,0.0,0.0,0.0,0.0
734431,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821554604445672,0.0,0.0,0.0,0.0
806765,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13796217037139308,0.0,0.0,0.0,0.0
807039,V010,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29023277647383683,0.3228546676405754,0.0,0.0,0.0
297334,V010,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688637304984123,0.0,0.0,0.0,0.0
599313,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571415159464311,0.0,0.0,0.0,0.0
734348,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13925334806019607,0.0,0.0,0.0,0.0
297334,V010,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688637304984123,0.0,0.0,0.0,0.0
320542,V010,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17802899351097612,0.0,0.0,0.0,0.0
600449,V010,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687825486676792,0.0,0.0,0.0,0.0
599312,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20651332320861523,0.0,0.0,0.0,0.0
750877,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16020433522021263,0.0,0.0,0.0,0.0
807039,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29023277647383683,0.0,0.0,0.0,0.0
320535,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737269087394726,0.0,0.0,0.0,0.0
734432,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15115559850890517,0.0,0.0,0.0,0.0
297334,V010,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688637304984123,0.0,0.0,0.0,0.0
297006,V010,2016,11,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
753435,V010,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
190573,V010,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13353914123981775,0.0,0.0,0.0,0.0
377068,V010,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13233411569791523,0.0,0.0,0.0,0.0
750876,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27535717244235813,0.0,0.0,0.0,0.0
190573,V010,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13353914123981775,0.0,0.0,0.0,0.0
734348,V010,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13925334806019607,0.0,0.0,0.0,0.0
750876,V010,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27535717244235813,0.0,0.0,0.0,0.0
296991,V010,2016,4,0.0,0.0,0.0,0.0,0.0,0.5118890152902841,0.0,0.0,0.0,0.0,0.0,0.0
599251,V010,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080911224630678,0.0,0.0,0.0,0.0
750877,V010,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16020433522021263,0.0,0.0,0.0,0.0
804320,V010,2017,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13288195499102584,0.0,0.0,0.0,0.0
297006,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.8309083547037388,0.0,0.0,0.0,0.0,0.0,0.0
806765,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138850752450642,0.0,0.0,0.0,0.0
806765,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138850752450642,0.0,0.0,0.1,0.09999999999999998
383676,V010,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449344194394588,0.0,0.0,0.0,0.0
734431,V010,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821554604445672,0.0,0.0,0.0,0.0
751545,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18862460306502832,0.0,0.0,0.0,0.0
329685,V010,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3740930553637996,0.0,0.0,0.0,0.0
813779,V010,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711732707441668,0.0,0.0,0.0,0.0
297006,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.8148738021325417,0.0,0.0,0.0,0.0,0.0,0.0
320535,V010,2017,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
822802,V010,2017,1,0.0,0.0,0.10000000000002274,0.0,0.0,0.0,0.0,0.21954107414054952,0.1992632964023306,0.0,0.0,0.0
375130,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34322683970730367,0.0,0.0,0.0,0.0
804320,V010,2017,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13288195499102584,0.0,0.0,0.0,0.0
969769,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6963048460582633,0.0,0.0,0.0,0.0
297612,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.3019647918554654,0.0,0.0,0.0,0.0,0.0,0.0
600449,V010,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4687825486676792,0.0,0.0,0.0,0.0
806765,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13796217037139308,0.0,0.0,0.0,0.0
750877,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161537484467762,0.0,0.0,0.0,0.0
320542,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17802899351097612,0.0,0.0,0.0,0.0
320535,V010,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
350848,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634808780891896,0.0,0.0,0.0,0.0
734348,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401673339776336,0.0,0.0,0.0,0.0
346181,V010,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579589672787519,0.0,0.0,0.0,0.0
811517,V010,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3572906254314511,0.0,0.0,0.0,0.0
753435,V010,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904685903631092,0.0,0.0,0.0,0.0
320535,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
969769,V010,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6963048460582633,0.22960312347690648,0.0,0.0,0.0
296906,V010,2017,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13681568410879472,0.0,0.0,0.0,0.0
813779,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711732707441668,0.0,0.0,0.0,0.0
811517,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35211928758801603,0.2718576743007,0.0,0.0,0.0
734432,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523076073450228,0.0,0.0,0.0,0.0
957667,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772806847991164,0.0,0.0,0.0,0.0
333596,V010,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10800773160292697,0.0,0.0,0.0,0.0
971417,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19835813889272402,0.20577602799421407,0.0,0.0,0.0
320535,V010,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
811517,V010,2017,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3572906254314511,0.0,0.0,0.0,0.0
753435,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1924070136683695,0.0,0.0,0.12967024393626797,0.7893231265108784
346181,V010,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5893105066961204,0.0,0.0,0.0,0.0
320535,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
750877,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161537484467762,0.0,0.0,0.0,0.0
320542,V010,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797189010078697,0.0,0.0,0.0,0.0
957667,V010,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772806847991164,0.0,0.0,0.0,0.0
320535,V010,2017,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
750875,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12215656495927102,0.0,0.0,0.0,0.0
320535,V010,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27733038796078974,0.0,0.0,0.0,0.0
320535,V010,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737269087394726,0.0,0.0,0.0,0.0
459366,V010,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31445202264255145,0.0,0.0,0.0,0.0
822802,V010,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22206102443738784,0.0,0.0,0.0,0.0
751545,V010,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18862460306502832,0.0,0.0,0.12757936163941816,0.7407332796132151
811517,V010,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35211928758801603,0.2718576743007,0.0,0.0,0.0
297006,V010,2017,6,0.0,0.0,0.0,0.0,0.0,0.8309083547037388,0.0,0.0,0.0,0.0,0.0,0.0
734432,V010,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523076073450228,0.0,0.0,0.0,0.0
