isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;97_yoy;102_yoy;140_yoy;160_yoy;161_yoy;302_yoy;303_yoy;305_yoy;316_yoy;317_yoy;1249_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
173195;2010;11;0.0;0.0;0.0;0.0;0.0;1626.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
173195;2010;12;0.0;0.0;0.0;0.0;0.0;1626.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
173195;2011;1;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.2823676049886996;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.11186004747943185;0
173195;2011;2;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.2384035849726993;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.11541017663448899;0
173195;2011;3;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.1668727752232462;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.11547649528614123;0
173195;2011;4;10.11;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.1008218118534274;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.11746095993365091;0
173195;2011;5;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
173195;2011;6;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.9345798995304855;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.08787140078748656;0
173195;2011;7;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
173195;2011;8;0.0;0.0;0.0;0.0;0.0;1707.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
