isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;94_yoy;97_yoy;101_yoy;140_yoy;204_yoy;302_yoy;303_yoy;316_yoy;317_yoy;1236_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
14990;2010;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2010;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.68;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
14990;2011;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;493.16;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
17170;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;739.95;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
17170;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;394.64;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
17695;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
17695;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
17695;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
17695;2007;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0;0
