isn_vinculo;num_ano;num_mes;100;106;100_yoy;106_yoy;IF_label;IF_score;anomalo
80204;2009;7;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2009;8;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2009;9;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2009;10;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2009;11;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2009;12;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;1;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;2;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;3;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;4;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;5;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;6;0.0;141.74;1.0;1.0;1;0.2571856737752446;0
80204;2010;7;0.0;148.6;1.0;1.0;1;0.2571856737752446;0
80204;2010;8;0.0;148.6;1.0;1.0;1;0.2571856737752446;0
80204;2010;9;0.0;148.6;1.0;1.0;1;0.2571856737752446;0
80204;2010;10;0.0;148.6;1.0;1.0;1;0.2571856737752446;0
127853;2007;3;681.78;681.78;1.0;1.0;1;0.2571856737752446;0
127853;2007;4;0.0;681.78;1.0;1.0;1;0.2571856737752446;0
127853;2007;5;0.0;681.78;1.0;1.0;1;0.2571856737752446;0
127853;2007;6;0.0;681.78;1.0;1.0;1;0.2571856737752446;0
127853;2007;7;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2007;8;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2007;9;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2007;10;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2007;11;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2007;12;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;1;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;2;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;3;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;4;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;5;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;6;0.0;705.98;1.0;1.0;1;0.2571856737752446;0
127853;2008;7;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2008;8;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2008;9;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2008;10;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2008;11;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2008;12;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;1;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;2;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;3;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;4;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;5;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;6;0.0;749.26;1.0;1.0;1;0.2571856737752446;0
127853;2009;7;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2009;8;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2009;9;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2009;10;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2009;11;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2009;12;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;1;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;2;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;3;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;4;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;5;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;6;0.0;794.22;1.0;1.0;1;0.2571856737752446;0
127853;2010;7;0.0;832.66;1.0;1.0;1;0.2571856737752446;0
127853;2010;8;0.0;832.66;1.0;1.0;1;0.2571856737752446;0
127853;2010;9;0.0;832.66;1.0;1.0;1;0.2571856737752446;0
127853;2010;10;0.0;832.66;1.0;1.0;1;0.2571856737752446;0
127853;2010;11;0.0;832.66;1.0;1.0;1;0.2571856737752446;0
127853;2010;12;0.0;832.66;1.0;1.0;1;0.2571856737752446;0
127853;2011;1;0.0;874.29;1.0;1.0;1;0.2571856737752446;0
141000;2007;3;0.0;112.58;1.0;1.0;1;0.2571856737752446;0
141000;2007;4;0.0;112.58;1.0;1.0;1;0.2571856737752446;0
141000;2007;5;0.0;112.58;1.0;1.0;1;0.2571856737752446;0
141000;2007;6;0.0;112.58;1.0;1.0;1;0.2571856737752446;0
141000;2007;7;0.0;116.58;1.0;1.0;1;0.2571856737752446;0
141000;2007;8;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2007;9;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2007;10;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2007;11;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2007;12;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2008;1;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2008;2;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2008;3;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2008;4;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
141000;2008;5;0.0;120.72;1.0;1.0;1;0.2571856737752446;0
