isn_vinculo;num_ano;num_mes;15;39;97;188;207;1367;1369;15_yoy;39_yoy;97_yoy;188_yoy;207_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
305943;2011;7;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;8;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;9;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;10;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;11;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2011;12;483.31;1288.48;0.0;0.0;1739.92;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;1;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;2;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;3;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;4;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;5;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;6;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;7;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;8;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;9;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;10;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;11;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2012;12;517.14;1378.67;0.0;0.0;1861.71;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;1;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;2;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;3;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;4;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
305943;2013;5;546.0;1455.6;0.0;0.0;1965.61;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2843503934734943;0
