isn_vinculo;num_ano;num_mes;15;97;207;1367;1369;15_yoy;97_yoy;207_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
296897;2012;11;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2012;12;904.53;0.0;3015.11;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;1;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;2;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;3;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;4;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;5;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;6;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;7;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;8;955.01;0.0;3183.35;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2013;9;955.01;0.0;3183.35;0.0;0.0;1.4486969448742453;1.0;1.4486827674398497;1.0;1.0;1;0.024176765016609147;0
296897;2013;10;955.01;0.0;3183.35;0.0;0.0;1.399015572125456;1.0;1.39901644531559;1.0;1.0;1;0.07363669281081453;0
296897;2013;11;955.01;0.0;3183.35;0.0;0.0;1.318218835838613;1.0;1.3182119342415834;1.0;1.0;1;0.027744046234408293;0
296897;2013;12;955.01;0.0;3183.35;0.0;0.0;1.2435997603979476;1.0;1.2435981076572686;1.0;1.0;1;0.03032077493637686;0
296897;2014;1;1009.44;0.0;3364.8;0.0;0.0;1.194094823507145;1.0;1.1940976485701915;1.0;1.0;1;0.03065281284968646;0
296897;2014;2;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;3;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;4;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;5;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;6;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;7;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;8;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;9;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;10;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;11;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2014;12;1009.44;0.0;3364.8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;1;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;2;1074.55;0.0;3581.83;0.0;0.0;1.6300324626073237;1.0;1.6300235276985178;1.0;1.0;-1;-0.0051405070673608;1
296897;2015;3;1074.55;0.0;3581.83;0.0;0.0;1.5741323996894363;1.0;1.5741401587399249;1.0;1.0;1;0.042640263211684126;0
296897;2015;4;1074.55;0.0;3581.83;0.0;0.0;1.4832222176211574;1.0;1.4832208373017515;1.0;1.0;1;0.05100575088820347;0
296897;2015;5;1074.55;0.0;3581.83;0.0;0.0;1.3992629632523372;1.0;1.399267127381543;1.0;1.0;1;0.08856000459009583;0
296897;2015;6;1074.55;0.0;3581.83;0.0;0.0;1.271115264502697;1.0;1.2711170888546626;1.0;1.0;1;0.0310746507115216;0
296897;2015;7;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;8;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;9;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;10;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;11;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2015;12;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2016;1;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
296897;2016;2;1074.55;0.0;3581.83;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.24939091070420483;0
