isn_vinculo;num_ano;num_mes;8;15;21;51;54;79;86;160;161;185;199;207;312;324;371;1232;1233;1352;1367;1369;1404;1454;1455;8_yoy;15_yoy;21_yoy;51_yoy;54_yoy;79_yoy;86_yoy;160_yoy;161_yoy;185_yoy;199_yoy;207_yoy;312_yoy;324_yoy;371_yoy;1232_yoy;1233_yoy;1352_yoy;1367_yoy;1369_yoy;1404_yoy;1454_yoy;1455_yoy;IF_label;IF_score;anomalo
329639;2014;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.07;0.0;0.0;0.0;382.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2014;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.07;0.0;0.0;0.0;382.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2014;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.07;0.0;0.0;0.0;382.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2014;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.07;0.0;0.0;0.0;382.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2014;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.07;0.0;0.0;0.0;382.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2014;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;382.07;0.0;0.0;0.0;382.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.8016744927793034;1.0;1.0;1.0;1.4832640560052506;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;-1;-0.06018497754134955;1
329639;2015;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
329639;2015;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;406.71;0.0;0.0;0.0;406.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.2419844857369975;0
