isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;anomalo
305874;2010;8;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;127.05;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13914980673992677;0
305874;2010;9;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;121.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14521522673170867;0
305874;2010;10;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;121.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14521522673170867;0
305874;2010;11;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11828035642613444;0
305874;2010;12;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11828035642613444;0
305874;2011;1;1721.23;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08438578345543207;0
305874;2011;2;1721.23;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08438578345543207;0
305874;2011;3;1721.23;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.08438578345543207;0
305874;2011;4;1721.23;258.18;0.0;0.0;0.0;0.0;5.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0100493113599468;1
305874;2011;5;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.1370577560377852;0
305874;2011;6;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.1370577560377852;0
305874;2011;7;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.1370577560377852;0
305874;2011;8;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.1370577560377852;0
305874;2011;9;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.1370577560377852;0
305874;2011;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;1873.55;0.0;0.0;0.0;-1;-0.02979945744081569;1
305874;2011;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1873.55;0.0;0.0;0.0;1;0.08755770157587445;0
305874;2011;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1873.55;0.0;0.0;0.0;1;0.08755770157587445;0
305874;2012;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
305874;2012;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.23232154262987764;0
