isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;IF_label;IF_score;anomalo
167426;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3486.35;0.0;0.0;0.0;0.0;-1;-0.030150212109389174;1
296906;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;488.01;0.0;0.0;0.0;0.0;1;0.05813978460691693;0
296991;2007;12;0.0;0.0;0.0;0.0;0.0;547.74;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0014957559299740852;0
297006;2007;12;0.0;0.0;0.0;0.0;0.0;880.49;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0127602777292114;1
297083;2007;12;0.0;0.0;0.0;0.0;0.0;855.62;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.012377414318359148;1
297612;2007;12;0.0;0.0;0.0;0.0;0.0;155.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.02996898262821912;0
320503;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;384.19;0.0;0.0;0.0;0.0;1;0.0598628570684237;0
14097;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.12872731819556432;0
18427;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.16;0.0;0.0;0.0;0.0;1;0.16420060258970848;0
18687;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;759.36;0.0;0.0;0.0;0.0;1;0.15860613773651588;0
130706;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2689.11;0.0;0.0;0.0;0.0;1;0.10222529322702234;0
130920;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;378.19;0.0;0.0;0.0;0.0;1;0.16849410059741382;0
131686;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;792.12;0.0;0.0;0.0;0.0;1;0.15710753956015683;0
131980;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;304.0;304.0;0.0;0.0;0.0;1;0.13973264521091938;0
140996;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.38;0.0;0.0;0.0;0.0;1;0.1554838430248464;0
144750;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;249.45;0.0;0.0;0.0;0.0;1;0.1669123275841819;0
144751;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.73;0.0;0.0;0.0;0.0;1;0.16317246550039216;0
144752;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.73;0.0;0.0;0.0;0.0;1;0.16317246550039216;0
167224;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;561.3;0.0;0.0;0.0;0.0;1;0.163320449445426;0
167298;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.86;0.0;0.0;0.0;0.0;1;0.16805305184298097;0
296906;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;488.01;0.0;0.0;0.0;0.0;1;0.16420060258970848;0
296991;2008;1;0.0;0.0;0.0;0.0;0.0;547.74;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11514947095413375;0
297006;2008;1;0.0;0.0;0.0;0.0;0.0;880.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.087214873323193;0
297083;2008;1;0.0;0.0;0.0;0.0;0.0;855.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.092350497162207;0
297612;2008;1;0.0;0.0;0.0;0.0;0.0;155.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15010313929866692;0
320503;2008;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;384.19;0.0;0.0;0.0;0.0;1;0.16821983726241685;0
14097;2008;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.12872731819556432;0
