isn_vinculo;num_ano;num_mes;8;10;15;19;39;70;94;97;207;324;666;680;1367;1369;IF_label;IF_score;anomalo
297608;2007;12;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15010667593475802;0
297091;2008;1;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.12296788988040397;0
297175;2008;1;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11537483000484677;0
297608;2008;1;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14223644968628907;0
297091;2008;2;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.12296788988040397;0
297175;2008;2;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11537483000484677;0
297608;2008;2;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14223644968628907;0
297091;2008;3;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.12296788988040397;0
297175;2008;3;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11537483000484677;0
297608;2008;3;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14223644968628907;0
297091;2008;4;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.12296788988040397;0
297175;2008;4;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11537483000484677;0
297608;2008;4;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14223644968628907;0
297091;2008;5;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.12296788988040397;0
297175;2008;5;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11537483000484677;0
297608;2008;5;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14223644968628907;0
297091;2008;6;0.0;3604.97;901.24;0.0;0.0;0.0;0.0;0.0;3604.97;0.0;0.0;0.0;0.0;0.0;1;0.12296788988040397;0
297175;2008;6;0.0;4028.69;2014.35;999.6;1411.99;0.0;0.0;0.0;1617.1;0.0;0.0;0.0;0.0;0.0;1;0.11537483000484677;0
297608;2008;6;992.76;0.0;99.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14223644968628907;0
297091;2008;7;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12316155167556642;0
297175;2008;7;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1064744484012215;0
297608;2008;7;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13992353886517955;0
297091;2008;8;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12316155167556642;0
297175;2008;8;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1064744484012215;0
297608;2008;8;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;116.76;0.0;0.0;0.0;0.0;1;0.020128718491528197;0
297091;2008;9;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12316155167556642;0
297175;2008;9;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1064744484012215;0
297608;2008;9;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13992353886517955;0
297091;2008;10;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12316155167556642;0
297175;2008;10;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1064744484012215;0
297608;2008;10;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13992353886517955;0
297091;2008;11;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12316155167556642;0
297175;2008;11;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1064744484012215;0
297608;2008;11;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13992353886517955;0
297091;2008;12;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12316155167556642;0
297175;2008;12;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.1064744484012215;0
297608;2008;12;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.13992353886517955;0
297091;2009;1;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12650144136540237;0
297175;2009;1;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.12020843381701252;0
297608;2009;1;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14553778377248933;0
297091;2009;2;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12650144136540237;0
297175;2009;2;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.12020843381701252;0
297608;2009;2;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14553778377248933;0
297091;2009;3;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12650144136540237;0
297175;2009;3;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.12020843381701252;0
297608;2009;3;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14553778377248933;0
297091;2009;4;0.0;3825.95;956.49;0.0;0.0;0.0;0.0;0.0;3825.95;0.0;0.0;0.0;0.0;0.0;1;0.12650144136540237;0
297175;2009;4;0.0;4275.64;2137.82;1060.87;1498.54;0.0;0.0;0.0;1716.23;0.0;0.0;0.0;0.0;0.0;1;0.12020843381701252;0
297608;2009;4;1053.62;0.0;105.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14553778377248933;0
