isn_vinculo;num_ano;num_mes;8;15;39;97;207;324;1367;1369;IF_label;IF_score;anomalo
296961;2013;6;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
296961;2013;7;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
296961;2013;8;3342.54;1337.02;9863.25;0.0;0.0;351.21;0.0;0.0;1;0.023083341654630773;0
296961;2013;9;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
296961;2013;10;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
296961;2013;11;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
296961;2013;12;3342.54;1337.02;9863.25;0.0;0.0;0.0;0.0;0.0;1;0.2062936379177991;0
296961;2014;1;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;2;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;3;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;4;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;5;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;6;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;7;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;8;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;9;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;10;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;11;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2014;12;3533.06;1413.22;10425.46;0.0;0.0;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2015;1;3760.94;1504.38;11097.9;0.0;0.0;0.0;0.0;0.0;-1;-0.04684471100168852;1
296961;2015;2;0.0;1504.38;11097.9;491.64;3760.94;0.0;0.0;0.0;-1;-0.008032285471047618;1
296961;2015;3;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;4;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;5;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;6;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;7;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;8;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;9;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;10;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;11;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2015;12;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.19681087428358635;0
296961;2016;1;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;2;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;3;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;4;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;5;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;6;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;7;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;8;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;9;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
296961;2016;10;0.0;1504.38;11097.9;0.0;3760.94;0.0;0.0;0.0;1;0.2580746793766672;0
