isn_vinculo;num_ano;num_mes;8;15;54;86;199;324;1232;1352;1367;1369;1404;IF_label;IF_score;anomalo
297565;2012;11;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22247672982470412;0
297565;2012;12;1678.94;167.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22247672982470412;0
297565;2013;1;1772.62;177.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.00646691668292565;1
297565;2013;2;1861.24;186.12;0.0;97.48;923.23;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.04655814738594832;1
297565;2013;3;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;4;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;5;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;6;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;7;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;8;1861.24;186.12;0.0;0.0;0.0;41.28;0.0;0.0;0.0;0.0;0.0;1;0.05761453217348822;0
297565;2013;9;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;10;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;11;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2013;12;1861.24;186.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21476197361085658;0
297565;2014;1;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;2;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;3;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;4;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;5;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;6;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
297565;2014;7;1967.33;196.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2538429738060416;0
