isn_vinculo,cod_cargo,num_ano,num_mes,8,15,39,97,207,324,1367,1369
331571,E175,2012,1,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
331571,E175,2012,4,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
296961,E175,2012,4,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
296961,E175,2012,5,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
331571,E175,2012,11,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
331571,E175,2012,6,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
331571,E175,2012,9,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
331571,E175,2012,12,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
296961,E175,2012,8,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.9999999999999991,0.0,0.0
296961,E175,2012,11,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
331571,E175,2012,3,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
331571,E175,2012,8,0.0,0.21029096914952192,0.0,0.0,0.7868281212774111,0.0,0.0,0.0
296961,E175,2012,7,0.7304067614090621,0.5782456211895683,0.3992468405097178,0.0,0.0,0.0,0.0,0.0
331571,E175,2013,2,0.0,0.23298533939604024,0.0,0.0,0.9021167611017309,0.0,0.0,0.0
296961,E175,2013,12,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
296961,E175,2013,9,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
296961,E175,2013,10,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
296961,E175,2013,3,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
331571,E175,2013,4,0.0,0.23298533939604024,0.0,0.0,0.9021167611017309,0.0,0.0,0.0
296961,E175,2013,5,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
296961,E175,2013,8,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.3524199164345392,0.0,0.0
296961,E175,2013,11,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
331571,E175,2013,1,0.0,0.23298533939604024,0.0,0.0,0.9021167611017309,0.0,0.0,0.0
296961,E175,2013,4,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
296961,E175,2013,7,0.8601151919594054,0.621475032114675,0.46081615244294527,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,9,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,6,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,3,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,2,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,12,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,5,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,8,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,4,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2014,7,1.0000000000000002,0.6680871887935079,0.5272197797871361,0.0,0.0,0.0,0.0,0.0
296961,E175,2015,9,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,6,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,3,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,2,0.0,0.7238504985420959,0.6066428693289936,0.12628868779128025,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,12,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,5,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,8,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,4,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
296961,E175,2015,7,0.0,0.7238504985420959,0.6066428693289936,0.0,0.4739177948808253,0.0,0.0,0.0
