isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
305874;2009;12;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17698970088408073;1;0.03958558765006048;0
305874;2010;1;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;97.92;0.0;0.0;0.0;0.0;0.0;0.0;1;0.16829314435791026;1;0.07405438464056036;0
305874;2010;2;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;126.72;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15998236941153382;1;0.01179504479495519;0
305874;2010;3;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;115.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17698970088408073;1;0.03958558765006048;0
305874;2010;4;1489.1;223.37;0.0;0.0;0.0;0.0;0.0;0.0;120.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17008170593799438;1;0.02613247556338405;0
305874;2010;5;1563.58;234.54;0.0;0.0;1244.7;0.0;0.0;0.0;120.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.009384907946074383;-1;-0.0002014161294959793;1
305874;2010;6;1563.58;234.54;0.0;0.0;0.0;0.0;0.0;0.0;126.72;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1356847382660783;1;0.006928776310609397;0
305874;2010;7;1639.26;245.89;0.0;628.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.42;0.0;0.0;-1;-0.02210619155807525;1;0.00025290809297617844;1
305874;2010;8;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;127.05;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11622318119644115;-1;-0.0003196580948103822;1
305874;2010;9;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;121.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14087329084656647;1;0.01410406135026221;0
305874;2010;10;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;121.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14087329084656647;1;0.01410406135026221;0
305874;2010;11;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18611351447479385;1;0.04129987861771356;0
305874;2010;12;1639.26;245.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18611351447479385;1;0.04129987861771356;0
305874;2011;1;1721.23;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1730272677018938;1;0.027580108041866058;0
305874;2011;2;1721.23;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1730272677018938;1;0.027580108041866058;0
305874;2011;3;1721.23;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1730272677018938;1;0.027580108041866058;0
305874;2011;4;1721.23;258.18;0.0;0.0;0.0;0.0;5.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12860123584079847;1;0.09050860240269842;0
305874;2011;5;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.10049820763180606;1;1.6834975506085925e-05;0
305874;2011;6;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.10049820763180606;1;1.6834975506085925e-05;0
305874;2011;7;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.10049820763180606;1;1.6834975506085925e-05;0
305874;2011;8;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.10049820763180606;1;1.6834975506085925e-05;0
305874;2011;9;0.0;258.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1721.23;0.0;0.0;0.0;1;0.10049820763180606;1;1.6834975506085925e-05;0
305874;2011;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;1873.55;0.0;0.0;0.0;-1;-0.06678944396856912;1;0.00038120751876702386;1
305874;2011;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1873.55;0.0;0.0;0.0;1;0.14786680127870733;1;0.02080600049120762;0
305874;2011;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1873.55;0.0;0.0;0.0;1;0.14786680127870733;1;0.02080600049120762;0
305874;2012;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2012;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2004.7;0.0;0.0;0.0;1;0.2005259677752368;1;0.018142436098645964;0
305874;2013;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.2086081428902104;1;0.015151158548576182;0
305874;2013;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.56;0.0;0.0;0.0;1;0.2086081428902104;1;0.015151158548576182;0
