isn_vinculo;num_ano;num_mes;8;10;11;15;19;21;39;51;52;54;86;94;97;102;140;165;207;1352;1367;1369;1404;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
174232;2008;1;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2008;1;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2008;1;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2008;1;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2008;2;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2008;2;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2008;2;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2008;2;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2008;3;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2008;3;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2008;3;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2008;3;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2008;4;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2008;4;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2008;4;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2008;4;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2008;5;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2008;5;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2008;5;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2008;5;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2008;6;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2008;6;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2008;6;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
297169;2008;6;0.0;6375.54;0.0;1471.28;1216.85;0.0;1411.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.09908124845984945;1;0.4799765910109368;0
174232;2008;7;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.06379264191671863;1;0.22361875850023338;0
198100;2008;7;0.0;0.0;0.0;406.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1161.6;0.0;0.0;0.0;0.0;1;0.14203123246271276;1;0.017258523932129677;0
297142;2008;7;0.0;9591.25;0.0;2486.62;1762.8;0.0;2926.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2414.9;0.0;0.0;0.0;0.0;1;0.10276635303769016;1;0.5164761842365184;0
297169;2008;7;0.0;6766.34;0.0;1561.46;1291.44;0.0;1498.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2414.9;0.0;0.0;0.0;0.0;1;0.10611048893103542;1;0.4728646762047841;0
174232;2008;8;0.0;0.0;331.36;551.71;0.0;0.0;0.0;0.0;331.36;0.0;0.0;0.0;0.0;0.0;0.0;130.33;1656.78;0.0;0.0;0.0;0.0;1;0.06379264191671863;1;0.22361875850023338;0
