isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
297568;2009;2;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;2;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;3;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;3;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;3;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;4;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;4;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;4;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;5;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;5;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;5;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;6;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;6;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;6;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;7;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;7;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;7;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;8;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;8;2790.0;418.5;0.0;0.0;0.0;80.62;-1;-0.04361072764159979;1;0.05666900147040144;1
320529;2009;8;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;9;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;9;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;9;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;10;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;10;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;10;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;11;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;11;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;11;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
147818;2009;12;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
297568;2009;12;2790.0;418.5;0.0;0.0;0.0;0.0;1;0.17038363463798611;1;0.20627936364479327;0
320529;2009;12;0.0;697.5;0.0;0.0;2511.0;0.0;1;0.19363823348490738;1;0.2585292728542856;0
