isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
175041;2021;9;0.0;111.79;1;0.09754519505954429;1;0.00021202730803970837;0
175502;2021;9;0.0;388.59;1;0.21418274762901995;1;0.4919196904338712;0
305879;2021;9;0.0;1870.0;1;0.116402799429984;1;0.01793493732036211;0
312118;2021;9;0.0;875.19;1;0.15634488285977838;1;0.5547574971096267;0
312125;2021;9;0.0;1726.38;1;0.14682151269498644;1;0.05052529389948113;0
320424;2021;9;0.0;550.0;1;0.10923181183357933;1;0.603470892614153;0
320454;2021;9;0.0;381.36;1;0.20756631027789585;1;0.48416655401452857;0
331355;2021;9;0.0;4992.89;-1;-0.00951599923471802;1;0.3640027284639835;1
331390;2021;9;0.0;232.9;1;0.20053608485728636;1;0.2663741470346448;0
331430;2021;9;0.0;2423.59;1;0.16206033652747026;1;0.010028322990971006;0
173352;2021;10;0.0;489.2;1;0.23265189180334456;1;0.5746366006710133;0
175041;2021;10;0.0;111.79;1;0.09754519505954429;1;0.00021202730803970837;0
175502;2021;10;0.0;388.59;1;0.21418274762901995;1;0.4919196904338712;0
305879;2021;10;0.0;1870.0;1;0.116402799429984;1;0.01793493732036211;0
312118;2021;10;0.0;875.19;1;0.15634488285977838;1;0.5547574971096267;0
312125;2021;10;0.0;1726.38;1;0.14682151269498644;1;0.05052529389948113;0
320424;2021;10;0.0;550.0;1;0.10923181183357933;1;0.603470892614153;0
320454;2021;10;0.0;381.36;1;0.20756631027789585;1;0.48416655401452857;0
331355;2021;10;0.0;4992.89;-1;-0.00951599923471802;1;0.3640027284639835;1
331390;2021;10;0.0;232.9;1;0.20053608485728636;1;0.2663741470346448;0
331430;2021;10;0.0;2423.59;1;0.16206033652747026;1;0.010028322990971006;0
175041;2021;11;0.0;111.79;1;0.09754519505954429;1;0.00021202730803970837;0
175502;2021;11;0.0;388.59;1;0.21418274762901995;1;0.4919196904338712;0
305879;2021;11;0.0;1870.0;1;0.116402799429984;1;0.01793493732036211;0
312118;2021;11;0.0;875.19;1;0.15634488285977838;1;0.5547574971096267;0
312125;2021;11;0.0;1726.38;1;0.14682151269498644;1;0.05052529389948113;0
320424;2021;11;0.0;550.0;1;0.10923181183357933;1;0.603470892614153;0
320454;2021;11;0.0;381.36;1;0.20756631027789585;1;0.48416655401452857;0
331355;2021;11;0.0;4992.89;-1;-0.00951599923471802;1;0.3640027284639835;1
331390;2021;11;0.0;232.9;1;0.20053608485728636;1;0.2663741470346448;0
331430;2021;11;0.0;2423.59;1;0.16206033652747026;1;0.010028322990971006;0
305879;2021;12;0.0;1870.0;1;0.116402799429984;1;0.01793493732036211;0
312118;2021;12;0.0;875.19;1;0.15634488285977838;1;0.5547574971096267;0
312125;2021;12;0.0;1726.38;1;0.14682151269498644;1;0.05052529389948113;0
320424;2021;12;0.0;550.0;1;0.10923181183357933;1;0.603470892614153;0
320454;2021;12;0.0;381.36;1;0.20756631027789585;1;0.48416655401452857;0
